pick ID: 4,37,21,A,A,38,22,4,4,Truck 1.0 pick ID: 4,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 8,37,21,A,A,38,22,4,4,
Truck 2.0 pick ID: 12,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 4,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 8,37,21,A,A,38,22,4,4,
Truck 2.0 pick ID: 12,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 4,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 8,37,21,A,A,38,22,4,4,
Truck 2.0 pick ID: 12,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 4,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 8,37,21,A,A,38,22,4,4,
Truck 2.0 pick ID: 12,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 4,37,21,A,A,38,22,4,4,
Truck 1.0 pick ID: 8,37,21,A,A,38,22,4,4,
Truck 2.0 pick ID: 12,37,21,A,A,38,22,4,4,
